core.externalId,core.Reference,core.assignable,core.name
REF_HANA_SLT_PRD_FI_DS/BSID/BELNR,True,True,BELNR
REF_HANA_SLT_PRD_FI_DS/BSID/BUDAT,True,True,BUDAT
REF_HANA_SLT_PRD_FI_DS/BSID/BUKRS,True,True,BUKRS
REF_HANA_SLT_PRD_FI_DS/BSID/DMBTR,True,True,DMBTR
REF_HANA_SLT_PRD_FI_DS/BSID/FAEDT,True,True,FAEDT
REF_HANA_SLT_PRD_FI_DS/BSID/KUNNR,True,True,KUNNR
REF_HANA_SLT_PRD_FI_DS/BSID/WAERS,True,True,WAERS
REF_HANA_SLT_PRD_FI_DS/BSID/WRBTR,True,True,WRBTR
REF_HANA_SLT_PRD_FI_DS/KNA1/KUNNR,True,True,KUNNR
REF_HANA_SLT_PRD_FI_DS/KNA1/NAME1,True,True,NAME1
REF_HANA_SLT_PRD_MM_DS/MARD/EINME,True,True,EINME
REF_HANA_SLT_PRD_MM_DS/MARD/LABST,True,True,LABST
REF_HANA_SLT_PRD_MM_DS/MARD/LGORT,True,True,LGORT
REF_HANA_SLT_PRD_MM_DS/MARD/MATNR,True,True,MATNR
REF_HANA_SLT_PRD_MM_DS/MARD/WERKS,True,True,WERKS
REF_HANA_SLT_PRD_MM_DS/MARA/MATNR,True,True,MATNR
REF_HANA_SLT_PRD_MM_DS/MARA/MEINS,True,True,MEINS
REF_HANA_SLT_PRD_MM_DS/MARA/MTYPE,True,True,MTYPE
REF_HANA_SLT_PRD_MM_DS/MAKT/MAKTX,True,True,MAKTX
REF_HANA_SLT_PRD_MM_DS/MAKT/MATNR,True,True,MATNR
REF_HANA_SLT_PRD_MM_DS/T001W/NAME1,True,True,NAME1
REF_HANA_SLT_PRD_MM_DS/T001W/WERKS,True,True,WERKS
REF_HANA_SLT_PRD_MM_DS/MBEW/BWKEY,True,True,BWKEY
REF_HANA_SLT_PRD_MM_DS/MBEW/MATNR,True,True,MATNR
REF_HANA_SLT_PRD_MM_DS/MBEW/STPRS,True,True,STPRS
REF_HANA_SLT_PRD_SD_DS/VBAK/AUART,True,True,AUART
REF_HANA_SLT_PRD_SD_DS/VBAK/ERDAT,True,True,ERDAT
REF_HANA_SLT_PRD_SD_DS/VBAK/GBSTK,True,True,GBSTK
REF_HANA_SLT_PRD_SD_DS/VBAK/KUNNR,True,True,KUNNR
REF_HANA_SLT_PRD_SD_DS/VBAK/VBELN,True,True,VBELN
REF_HANA_SLT_PRD_SD_DS/VBAK/VKORG,True,True,VKORG
REF_HANA_SLT_PRD_SD_DS/VBAK/WAERK,True,True,WAERK
REF_HANA_SLT_PRD_SD_DS/VBAP/ARKTX,True,True,ARKTX
REF_HANA_SLT_PRD_SD_DS/VBAP/KWMENG,True,True,KWMENG
REF_HANA_SLT_PRD_SD_DS/VBAP/MATNR,True,True,MATNR
REF_HANA_SLT_PRD_SD_DS/VBAP/MWSBP,True,True,MWSBP
REF_HANA_SLT_PRD_SD_DS/VBAP/NETWR,True,True,NETWR
REF_HANA_SLT_PRD_SD_DS/VBAP/VBELN,True,True,VBELN
REF_HANA_SLT_PRD_SD_DS/KNA1/KUNNR,True,True,KUNNR
REF_HANA_SLT_PRD_SD_DS/KNA1/NAME1,True,True,NAME1
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/BUDAT,True,True,BUDAT
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/DOCNR,True,True,DOCNR
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/RACCT,True,True,RACCT
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/RBUKRS,True,True,RBUKRS
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/RYEAR,True,True,RYEAR
REF_HANA_SLT_PRD_BAP_DS/FEBCL/ESNUM,True,True,ESNUM
REF_HANA_SLT_PRD_BAP_DS/FEBCL/kukey,True,True,kukey
REF_HANA_SLT_PRD_BAP_DS/FEBCL/selvon,True,True,selvon
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_CUST/FULLNAME,True,True,FULLNAME
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_CUST/KUNNR,True,True,KUNNR
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_VEND/FULLNAME,True,True,FULLNAME
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_VEND/LIFNR,True,True,LIFNR
REF_HANA_SLT_PRD_BAP_DS/T012K/hkont,True,True,hkont
REF_HANA_SLT_PRD_BAP_DS/BSEG/BELNR,True,True,BELNR
REF_HANA_SLT_PRD_BAP_DS/BSEG/BUKRS,True,True,BUKRS
REF_HANA_SLT_PRD_BAP_DS/BSEG/BUZEI,True,True,BUZEI
REF_HANA_SLT_PRD_BAP_DS/BSEG/GJAHR,True,True,GJAHR
REF_HANA_SLT_PRD_BAP_DS/BKPF/BELNR,True,True,BELNR
REF_HANA_SLT_PRD_BAP_DS/BKPF/BUKRS,True,True,BUKRS
REF_HANA_SLT_PRD_BAP_DS/BKPF/GJAHR,True,True,GJAHR
