core.externalId,core.reference,core.assignable,core.name
Sample_Sales_Report_78752638/sales_vw/region,TRUE,TRUE,region
Sample_Sales_Report_78752638/sales_vw/total_revenue,TRUE,TRUE,total_revenue
Sample_Sales_Report_78752638/customer_vw/segment,TRUE,TRUE,segment
Sample_Sales_Report_78752638/customer_vw/customer_count,TRUE,TRUE,customer_count
Sample_Sales_Report_78752638/customer_vw/customer_name,TRUE,TRUE,customer_name
Sample_Sales_Report_78752638/customer_vw/region,TRUE,TRUE,region
Sample_Sales_Report_78752638/customer_vw/lifetime_value,TRUE,TRUE,lifetime_value
Simpfy_project_96010eb4/simpfy_projects_vw/corp_initiative_name,TRUE,TRUE,corp_initiative_name
Simpfy_project_96010eb4/simpfy_projects_vw/segment_initiative_name,TRUE,TRUE,segment_initiative_name
Simpfy_project_96010eb4/simpfy_projects_vw/distinct_count_enablers_with,TRUE,TRUE,distinct_count_enablers_with__
Simpfy_project_96010eb4/simpfy_projects_vw/project_country,TRUE,TRUE,project_country
Simpfy_project_96010eb4/simpfy_projects_vw/Enablers,TRUE,TRUE,Enablers
Simpfy_project_96010eb4/simpfy_projects_vw/segment_name,TRUE,TRUE,segment_name
Simpfy_project_96010eb4/simpfy_projects_vw/Pillars,TRUE,TRUE,Pillars
Simpfy_project_96010eb4/simpfy_projects_vw/start_year,TRUE,TRUE,start_year
Simpfy_project_96010eb4/simpfy_projects_vw/project_id,TRUE,TRUE,project_id
Simpfy_project_96010eb4/simpfy_projects_vw/project_version_id,TRUE,TRUE,project_version_id
Simpfy_project_96010eb4/simpfy_projects_vw/project_name,TRUE,TRUE,project_name
Simpfy_project_96010eb4/simpfy_projects_vw/segment_name_abbreviated,TRUE,TRUE,segment_name_abbreviated
Simpfy_project_96010eb4/LastMilestonesTable/LastMilestoneStatus,TRUE,TRUE,LastMilestoneStatus
Simpfy_project_96010eb4/simpfy_projects_vw/project_type,TRUE,TRUE,project_type
Simpfy_project_96010eb4/simpfy_projects_vw/Total_cost_distinct_project_currency2,TRUE,TRUE,Total cost distinct project currency2
Simpfy_project_96010eb4/Stage_sort/Stage,TRUE,TRUE,Stage
Simpfy_project_96010eb4/simpfy_challenges_vw/Blank_challenges_count,TRUE,TRUE,Blank challenges count
Simpfy_project_96010eb4/simpfy_projects_vw/distinct_count_pillars,TRUE,TRUE,distinct_count_pillars
Simpfy_project_96010eb4/simpfy_projects_vw/Dynamic_display_unit_tc,TRUE,TRUE,Dynamic display unit_tc
Simpfy_project_96010eb4/simpfy_projects_vw/Total_cost_distinct_project,TRUE,TRUE,Total cost distinct project
