core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.FieldType
Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_region,Region,sales_vw.region,Region,Region,,Source Column
Sample_Sales_Report_78752638/ds_sales_vw/region,region,region,region,region,,Source Column
Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_total_revenue,Total Revenue,sales_vw.total_revenue,Total Revenue,Total Revenue,,Measure
Sample_Sales_Report_78752638/ds_sales_vw/total_revenue,total_revenue,total_revenue,total_revenue,total_revenue,,Measure
Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_segment,Segment,customer_vw.segment,Segment,Segment,,Source Column
Sample_Sales_Report_78752638/ds_customer_vw/segment,segment,segment,segment,segment,,Source Column
Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_customer_count,Customer Count,customer_vw.customer_count,Customer Count,Customer Count,,Measure
Sample_Sales_Report_78752638/ds_customer_vw/customer_count,customer_count,customer_count,customer_count,customer_count,,Measure
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_customer_name,Customer Name,customer_vw.customer_name,Customer Name,Customer Name,,Source Column
Sample_Sales_Report_78752638/ds_customer_vw/customer_name,customer_name,customer_name,customer_name,customer_name,,Source Column
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_region,Region,customer_vw.region,Region,Region,,Source Column
Sample_Sales_Report_78752638/ds_customer_vw/region,region,region,region,region,,Source Column
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_lifetime_value,Lifetime Value,customer_vw.lifetime_value,Lifetime Value,Lifetime Value,,Measure
Sample_Sales_Report_78752638/ds_customer_vw/lifetime_value,lifetime_value,lifetime_value,lifetime_value,lifetime_value,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card/Min_simpfy_projects_vw_corp_initiative_name,Corporate Initiatives,Min(simpfy_projects_vw.corp_initiative_name),Corporate Initiatives,Corporate Initiatives,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/corp_initiative_name,corp_initiative_name,corp_initiative_name,corp_initiative_name,corp_initiative_name,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card/Min_simpfy_projects_vw_segment_initiative_name,Segment Initiatives,Min(simpfy_projects_vw.segment_initiative_name),Segment Initiatives,Segment Initiatives,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_initiative_name,segment_initiative_name,segment_initiative_name,segment_initiative_name,segment_initiative_name,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card/simpfy_projects_vw_distinct_count_enablers_with,Enablers,simpfy_projects_vw.distinct_count_enablers_with__,Enablers,Enablers,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/distinct_count_enablers_with,distinct_count_enablers_with__,distinct_count_enablers_with__,distinct_count_enablers_with__,distinct_count_enablers_with__,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer/simpfy_projects_vw_corp_initiative_name,Corporate Initiatives,simpfy_projects_vw.corp_initiative_name,Corporate Initiatives,Corporate Initiatives,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer/simpfy_projects_vw_project_country,Country,simpfy_projects_vw.project_country,Country,Country,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_country,project_country,project_country,project_country,project_country,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer/simpfy_projects_vw_Enablers,Enablers,simpfy_projects_vw.Enablers,Enablers,Enablers,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Enablers,Enablers,Enablers,Enablers,Enablers,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer/simpfy_projects_vw_segment_name,Segment,simpfy_projects_vw.segment_name,Segment,Segment,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name,segment_name,segment_name,segment_name,segment_name,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer/simpfy_projects_vw_Pillars,Pillars,simpfy_projects_vw.Pillars,Pillars,Pillars,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Pillars,Pillars,Pillars,Pillars,Pillars,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer/simpfy_projects_vw_start_year,Project Start Date,simpfy_projects_vw.start_year,Project Start Date,Project Start Date,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/start_year,start_year,start_year,start_year,start_year,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_id,Count of project_id,CountNonNull(simpfy_projects_vw.project_id),Count of project_id,Count of project_id,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_id,project_id,project_id,project_id,project_id,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_version_id,Project count,CountNonNull(simpfy_projects_vw.project_version_id),Project count,Project count,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_version_id,project_version_id,project_version_id,project_version_id,project_version_id,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/simpfy_projects_vw_project_country,project_country,simpfy_projects_vw.project_country,project_country,project_country,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/Count_simpfy_projects_vw_project_name,Count of projects,Count(simpfy_projects_vw.project_name),Count of projects,Count of projects,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_name,project_name,project_name,project_name,project_name,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/simpfy_projects_vw_segment_name_abbreviated,Segment name,simpfy_projects_vw.segment_name_abbreviated,Segment name,Segment name,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,,Source Column
