core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.VisualQuery,custom.PowerBI.v3.VisualType
Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart,Visual1_barChart,Visual1_barChart,Visual1_barChart,Visual1_barChart,,"{'From': [{'Name': 's', 'Entity': 'sales_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'region'}, 'Name': 'Region'}, {'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'total_revenue'}, 'Name': 'Total Revenue'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'order_count'}}, 'Function': 0}, 'Name': 'Order Count'}]}",barChart
Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart,Visual2_pieChart,Visual2_pieChart,Visual2_pieChart,Visual2_pieChart,,"{'From': [{'Name': 'c', 'Entity': 'customer_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 'c'}}, 'Property': 'segment'}, 'Name': 'Segment'}, {'Measure': {'Expression': {'SourceRef': {'Source': 'c'}}, 'Property': 'customer_count'}, 'Name': 'Customer Count'}]}",pieChart
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,Visual1_tableEx,Visual1_tableEx,Visual1_tableEx,Visual1_tableEx,,"{'From': [{'Name': 'c', 'Entity': 'customer_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 'c'}}, 'Property': 'customer_name'}, 'Name': 'Customer Name'}, {'Column': {'Expression': {'SourceRef': {'Source': 'c'}}, 'Property': 'region'}, 'Name': 'Region'}, {'Measure': {'Expression': {'SourceRef': {'Source': 'c'}}, 'Property': 'lifetime_value'}, 'Name': 'Lifetime Value'}]}",tableEx
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card,Visual1_card,Visual1_card,Visual1_card,Visual1_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'corp_initiative_name'}}, 'Function': 2}, 'Name': 'Min(simpfy_projects_vw.corp_initiative_name)', 'NativeReferenceName': 'Count of corp_initiative_name'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'corp_initiative_name'}}, 'Function': 2}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card,Visual2_card,Visual2_card,Visual2_card,Visual2_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_initiative_name'}}, 'Function': 2}, 'Name': 'Min(simpfy_projects_vw.segment_initiative_name)', 'NativeReferenceName': 'Segment Initiatives'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_initiative_name'}}, 'Function': 2}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card,Visual3_card,Visual3_card,Visual3_card,Visual3_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'distinct_count_enablers_with__'}, 'Name': 'simpfy_projects_vw.distinct_count_enablers_with__', 'NativeReferenceName': 'Enablers'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'distinct_count_enablers_with__'}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer,Visual4_slicer,Visual4_slicer,Visual4_slicer,Visual4_slicer,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'corp_initiative_name'}, 'Name': 'simpfy_projects_vw.corp_initiative_name', 'NativeReferenceName': 'Corporate Initiatives'}]}",slicer
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer,Visual5_slicer,Visual5_slicer,Visual5_slicer,Visual5_slicer,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_country'}, 'Name': 'simpfy_projects_vw.project_country', 'NativeReferenceName': 'Country'}]}",slicer
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer,Visual6_slicer,Visual6_slicer,Visual6_slicer,Visual6_slicer,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Enablers'}, 'Name': 'simpfy_projects_vw.Enablers', 'NativeReferenceName': 'Enablers1'}]}",slicer
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer,Visual7_slicer,Visual7_slicer,Visual7_slicer,Visual7_slicer,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name'}, 'Name': 'simpfy_projects_vw.segment_name', 'NativeReferenceName': 'Segment'}]}",slicer
