Source,Target,Association
$resource,Sample_Sales_Report_78752638,core.ResourceParentChild
Sample_Sales_Report_78752638,Sample_Sales_Report_78752638/ReportSection1,custom.PowerBI.v3.ReportToSection
Sample_Sales_Report_78752638/ReportSection1,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart,custom.PowerBI.v3.SectionToVisual
Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_region,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638,Sample_Sales_Report_78752638/ds_sales_vw,custom.PowerBI.v3.ReportToDataset
Sample_Sales_Report_78752638/ds_sales_vw,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart,core.DataSetDataFlow
Sample_Sales_Report_78752638/ds_sales_vw,Sample_Sales_Report_78752638/ds_sales_vw/region,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_sales_vw/region,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_region,core.DirectionalDataFlow
$resource,Sample_Sales_Report_78752638/Reference_sales_vw,core.ResourceParentChild
Sample_Sales_Report_78752638/Reference_sales_vw,Sample_Sales_Report_78752638/Connection_sales_vw,core.ResourceParentChild
Sample_Sales_Report_78752638/Connection_sales_vw,Sample_Sales_Report_78752638/sales_vw,core.DataSourceParentChild
Sample_Sales_Report_78752638/sales_vw,Sample_Sales_Report_78752638/ds_sales_vw,core.DataSetDataFlow
Sample_Sales_Report_78752638/sales_vw,Sample_Sales_Report_78752638/sales_vw/region,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/sales_vw/region,Sample_Sales_Report_78752638/ds_sales_vw/region,core.DirectionalDataFlow
Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_total_revenue,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638/ds_sales_vw,Sample_Sales_Report_78752638/ds_sales_vw/total_revenue,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_sales_vw/total_revenue,Sample_Sales_Report_78752638/ReportSection1/Visual1_barChart/sales_vw_total_revenue,core.DirectionalDataFlow
Sample_Sales_Report_78752638/sales_vw,Sample_Sales_Report_78752638/sales_vw/total_revenue,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/sales_vw/total_revenue,Sample_Sales_Report_78752638/ds_sales_vw/total_revenue,core.DirectionalDataFlow
Sample_Sales_Report_78752638/ReportSection1,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart,custom.PowerBI.v3.SectionToVisual
Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_segment,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638,Sample_Sales_Report_78752638/ds_customer_vw,custom.PowerBI.v3.ReportToDataset
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart,core.DataSetDataFlow
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ds_customer_vw/segment,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_customer_vw/segment,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_segment,core.DirectionalDataFlow
$resource,Sample_Sales_Report_78752638/Reference_customer_vw,core.ResourceParentChild
Sample_Sales_Report_78752638/Reference_customer_vw,Sample_Sales_Report_78752638/Connection_customer_vw,core.ResourceParentChild
