core.externalId,core.name,core.description,core.assignable,custom.sap.hana.calscript.v7.keyAttribute,custom.sap.hana.calscript.v7.columnExpression,custom.sap.hana.calscript.v7.columnDataType
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUKRS,BUKRS,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/KUNNR,KUNNR,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BELNR,BELNR,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUDAT,BUDAT,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/FAEDT,FAEDT,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WAERS,WAERS,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/CUSTOMER_NAME,CUSTOMER_NAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/AGING_BUCKET,AGING_BUCKET,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/DAYS_OVERDUE,DAYS_OVERDUE,,True,true,,INTEGER
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/DMBTR,DMBTR,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WRBTR,WRBTR,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/WERKS,WERKS,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LGORT,LGORT,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,MATNR,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MAKTX,MAKTX,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MTYPE,MTYPE,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MEINS,MEINS,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/PLANT_NAME,PLANT_NAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/STOCK_STATUS,STOCK_STATUS,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LABST,LABST,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/EINME,EINME,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/STOCK_VALUE,STOCK_VALUE,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VBELN,VBELN,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ERDAT,ERDAT,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/AUART,AUART,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KUNNR,KUNNR,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/CUSTOMER_NAME,CUSTOMER_NAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/MATNR,MATNR,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ARKTX,ARKTX,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/WAERK,WAERK,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VKORG,VKORG,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ORDER_STATUS,ORDER_STATUS,,True,true,,NVARCHAR
