Source,Target,Association
$RESOURCE,hana_calcviews_container,core.ResourceParentChild
$RESOURCE,REF_HANA_SLT_PRD_FI_CONN,core.ResourceParentChild
REF_HANA_SLT_PRD_FI_CONN,REF_HANA_SLT_PRD_FI_DS,core.ResourceParentChild
REF_HANA_SLT_PRD_FI_DS,REF_HANA_SLT_PRD_FI_DS/BSID,core.DataSourceParentChild
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/BELNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/BUDAT,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/BUKRS,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/DMBTR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/FAEDT,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/KUNNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/WAERS,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/BSID,REF_HANA_SLT_PRD_FI_DS/BSID/WRBTR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS,REF_HANA_SLT_PRD_FI_DS/KNA1,core.DataSourceParentChild
REF_HANA_SLT_PRD_FI_DS/KNA1,REF_HANA_SLT_PRD_FI_DS/KNA1/KUNNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_FI_DS/KNA1,REF_HANA_SLT_PRD_FI_DS/KNA1/NAME1,core.DataSetToDataElementParentship
hana_calcviews_container,custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,core.DataSourceParentChild
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUKRS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BELNR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUDAT,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/FAEDT,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WAERS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/CUSTOMER_NAME,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/AGING_BUCKET,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/DAYS_OVERDUE,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/DMBTR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WRBTR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/open_items,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/enriched,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
REF_HANA_SLT_PRD_FI_DS/BSID,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/open_items,core.DataSetDataFlow
REF_HANA_SLT_PRD_FI_DS/KNA1,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/open_items,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/open_items,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/enriched,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_AR_AGING/enriched,custom.sap.hana.calscript.v7.HanaCalcView/CV_AR_AGING,core.DataSetDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/BUKRS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUKRS,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/KUNNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/KNA1/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/KUNNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/BELNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BELNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/BUDAT,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/BUDAT,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/FAEDT,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/FAEDT,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/WAERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WAERS,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/DMBTR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/DMBTR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_FI_DS/BSID/WRBTR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_AR_AGING/WRBTR,core.DirectionalDataFlow
$RESOURCE,REF_HANA_SLT_PRD_MM_CONN,core.ResourceParentChild
REF_HANA_SLT_PRD_MM_CONN,REF_HANA_SLT_PRD_MM_DS,core.ResourceParentChild
REF_HANA_SLT_PRD_MM_DS,REF_HANA_SLT_PRD_MM_DS/MARD,core.DataSourceParentChild
REF_HANA_SLT_PRD_MM_DS/MARD,REF_HANA_SLT_PRD_MM_DS/MARD/EINME,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_MM_DS/MARD,REF_HANA_SLT_PRD_MM_DS/MARD/LABST,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_MM_DS/MARD,REF_HANA_SLT_PRD_MM_DS/MARD/LGORT,core.DataSetToDataElementParentship
