filename,line_number,run_id,job_name,job_namespace,event_type,error_type,inputs_count,outputs_count,has_job,has_schema,has_column_lineage,reason_description
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,1,019dd21f-0476-7cd9-945d-13a88fcd2345,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,START,No outputs - Cannot generate DataSetDataFlow,1,0,True,True,False,Dataset output is missing. Lineage flow cannot be established.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,1,019dd21f-0476-7cd9-945d-13a88fcd2345,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,START,No column lineage facet - Cannot generate DirectionalDataFlow,1,0,True,True,False,Column-level lineage not available. Cannot create directional flow between columns.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,2,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,START,No outputs - Cannot generate DataSetDataFlow,1,0,True,True,False,Dataset output is missing. Lineage flow cannot be established.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,2,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,START,No column lineage facet - Cannot generate DirectionalDataFlow,1,0,True,True,False,Column-level lineage not available. Cannot create directional flow between columns.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,3,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,RUNNING,No outputs - Cannot generate DataSetDataFlow,1,0,True,True,False,Dataset output is missing. Lineage flow cannot be established.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,3,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,RUNNING,No column lineage facet - Cannot generate DirectionalDataFlow,1,0,True,True,False,Column-level lineage not available. Cannot create directional flow between columns.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,4,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,RUNNING,No outputs - Cannot generate DataSetDataFlow,1,0,True,True,False,Dataset output is missing. Lineage flow cannot be established.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,4,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,RUNNING,No column lineage facet - Cannot generate DirectionalDataFlow,1,0,True,True,False,Column-level lineage not available. Cannot create directional flow between columns.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,5,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,COMPLETE,No outputs - Cannot generate DataSetDataFlow,1,0,True,True,False,Dataset output is missing. Lineage flow cannot be established.
00b3fc34-1d8f-4a8c-b194-023a1140d5bc.ndjson,5,019dd21f-0478-73da-b3ef-5670c139f95d,mqtt_spark_streaming.write_to_data_source_v2,socar_lakehouse,COMPLETE,No column lineage facet - Cannot generate DirectionalDataFlow,1,0,True,True,False,Column-level lineage not available. Cannot create directional flow between columns.
