core.externalId,core.Reference,core.assignable,core.name
s3___lakehouse.lh_dwst_stg/tag_values_haor/confidence,TRUE,,confidence
s3___lakehouse.lh_dwst_stg/tag_values_haor/hash_field,TRUE,,hash_field
s3___lakehouse.lh_dwst_stg/tag_values_haor/hostName,TRUE,,hostName
s3___lakehouse.lh_dwst_stg/tag_values_haor/plant_api,TRUE,,plant_api
s3___lakehouse.lh_dwst_stg/tag_values_haor/sampledatetime,TRUE,,sampledatetime
s3___lakehouse.lh_dwst_stg/tag_values_haor/tagName,TRUE,,tagName
s3___lakehouse.lh_dwst_stg/tag_values_haor/value,TRUE,,value
s3___lh_downstream.stg/tag_values_haor/confidence,TRUE,,confidence
s3___lh_downstream.stg/tag_values_haor/hash_field,TRUE,,hash_field
s3___lh_downstream.stg/tag_values_haor/hostName,TRUE,,hostName
s3___lh_downstream.stg/tag_values_haor/plant_api,TRUE,,plant_api
s3___lh_downstream.stg/tag_values_haor/sampledatetime,TRUE,,sampledatetime
s3___lh_downstream.stg/tag_values_haor/tagName,TRUE,,tagName
s3___lh_downstream.stg/tag_values_haor/value,TRUE,,value
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/EndTime,TRUE,,EndTime
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/ReductionType,TRUE,,ReductionType
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/SampleType,TRUE,,SampleType
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/StartTime,TRUE,,StartTime
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/_element,TRUE,,_element
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/confidence,TRUE,,confidence
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/reductionFrequency,TRUE,,reductionFrequency
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/reductionOffsetType,TRUE,,reductionOffsetType
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/tagName,TRUE,,tagName
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/timestamp,TRUE,,timestamp
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/value,TRUE,,value
